listing_name,listing_url,listing_price,listing_shipping_price,listing_authenticity,listing_Seller,listing_Seller_url,listing_Seller_rating,listing_color,listing_brand,listing_model,listing_size
✅ adidas yeezy 700 v3 'dark glow' (gx6144),,$265,11.58,Authenticity Guarantee,"","","",Black,adidas,,
✅ adidas yeezy 700 v3 'dark glow' (gx6144),,$265,11.58,Authenticity Guarantee,"","","",Black,adidas,Yeezy,
✅ new balance 550 white grey size 10 10 bb550pb1 ✅,https://www.ebay.com/p/6045642261?iid=203608453026&var=504020624358,$178.88,0,"","","","",White,New Balance,500,Size 10
✅ nike dunk low social status free lunch strawberry milk size 3y (ps) dm3349-600,,$159.99,8.8,Authenticity Guarantee,barrcha0,https://www.ebay.com/usr/barrcha0?_trksid=p2047675.l2559,100% Positive feedback,Red,Nike,Dunk,
✅ nike dunk mid social status free lunch size 11 strawberry milk dj1173-600,,$240,0,Authenticity Guarantee,"","","",Red,Nike,Dunk,Size 11
$130 adidas james harden vol 4 black eh2410 men's basketball shoes authentic,,$89.99,0,"","","","",Black,adidas,,
$130 adidas james harden vol 4 black eh2410 men's basketball shoes authentic,,$89.99,0,"","","","",Black,adidas,Harden,
$130 adidas james harden vol 4 grey eh2412 men's basketball shoes authentic,,$89.99,0,"","","","",White,adidas,,
$130 adidas james harden vol 4 grey eh2412 men's basketball shoes authentic,,$89.99,0,"","","","",White,adidas,Harden,
$130 adidas james harden vol 4 scarlet eh2409 men's basketball shoes authentic,,$359.96,0,"","","","",White,adidas,,
$130 adidas james harden vol 4 scarlet eh2409 men's basketball shoes authentic,,$89.99,0,"","","","",White,adidas,Harden,
$180 nib men women nike air max 720 running training shoes black red gold gym tr,,$100.78,0,Authenticity Guarantee,smartdealscllc,https://www.ebay.com/usr/smartdealscllc?_trksid=p2047675.l2559,98.5% Positive feedback,Red,Nike,,
$180 nike air zoom bb nxt red usa basketball shoes sz 9-13 ck5707-600 olympic,,$100,0,Authenticity Guarantee,"","","",Red,Nike,Air Zoom,
$189.99 $150 adidas adicolor low bl1 bts black tiger studio soccer superstar 562,,$49.99,8,"",kobe2k4,https://www.ebay.com/usr/kobe2k4?_trksid=p2047675.l2559,99% Positive feedback,Black,adidas,,
$189.99 $150 adidas adicolor low bl1 bts black tiger studio soccer superstar 562,,$49.99,8,"",kobe2k4,https://www.ebay.com/usr/kobe2k4?_trksid=p2047675.l2559,99% Positive feedback,Black,adidas,Superstar,
$325 stella mccartney for adidas stan smith low top sneakers white choose size,,$249.99,0,Authenticity Guarantee,bunny_inc,https://www.ebay.com/usr/bunny_inc?_trksid=p2047675.l2559,100% Positive feedback,White,adidas,,
$325 stella mccartney for adidas stan smith low top sneakers white choose size,,$249.99,0,Authenticity Guarantee,bunny_inc,https://www.ebay.com/usr/bunny_inc?_trksid=p2047675.l2559,100% Positive feedback,White,adidas,Stan Smith,
(2020) nike air jordan 1 mid banned size 11. 554724-074,,$209,0,Authenticity Guarantee,"","","",Red,Nike,,Size 11
(deadstock with tags) size 8 - new balance 550 x aime leon dore evergreen,https://www.ebay.com/p/8045636223?iid=165113579731,$350,9.3,Authenticity Guarantee,"","","",White,New Balance,500,Size 8
(ef9819) adidas pro model 2g - scarlet red *new*,,$100,0,"","","","",Red,adidas,,
(eh3371) men's adidas edge gameday shoes - red *new* men's 13,,$72,16.5,"","","","",Red,adidas,,
(fx7882) men's adidas top ten low rb shoes - red *new*,,$136,0,"","","","",Red,adidas,,
(fy0384) adidas ultraboost 21 running shoes - blue *new*,,$540,0,Authenticity Guarantee,"","","",Blue,adidas,,
(fy0384) adidas ultraboost 21 running shoes - blue *new*,,$135,0,Authenticity Guarantee,"","","",Blue,adidas,Ultra Boost,
(new men's) nike air jordan 1 low shadow grey gray white shoes (553558-040),,$175,0,Authenticity Guarantee,"","","",White,Nike,,
(new) adidas basketball shoe: d.o.n. issue 2 / size 11 / fu7384 / white / black,,$219.98,0,Authenticity Guarantee,"","","",White,adidas,,Size 11
(new) adidas basketball shoe: d.o.n. issue 2 / size 12 / fu7384 / white / black,,$219.98,0,Authenticity Guarantee,thesupershopspot,https://www.ebay.com/usr/thesupershopspot?_trksid=p2047675.l2559,100% Positive feedback,White,adidas,,Size 12
(new) new balance mens 410 trail running course shoes blue size 12 d with box,https://www.ebay.com/itm/115057806072?hash=item1ac9facaf8:g:sKMAAOSwTXBhcfTp,$50,13.55,"",kmuch220,"","",Blue,New Balance,400,Size 12
* adidas predator mutator 20.1 fg soccer cleat blue /red mens size 11 eg1600 nib,,$234.92,36.42,"","","","",Red,adidas,,Size 11
***new men's adidas adizero boston 10 blue white running | size 10 | fz2498,,$139.97,0,Authenticity Guarantee,"","","",Blue,adidas,,Size 10
***new men's adidas adizero boston 10 blue white running | size 10 | fz2498,,$139.97,0,Authenticity Guarantee,knzapparel,https://www.ebay.com/usr/knzapparel?_trksid=p2047675.l2559,99.8% Positive feedback,Blue,adidas,,Size 10
***new men's adidas adizero boston 10 blue white running | size 10 | fz2498,,$139.97,0,Authenticity Guarantee,knzapparel,https://www.ebay.com/usr/knzapparel?_trksid=p2047675.l2559,99.8% Positive feedback,Blue,adidas,Adizero,Size 10
"**brand new** adidas i-5923 size 5 white, blue, burgundy",,$55,0,"",xhalfxhalfx,https://www.ebay.com/usr/xhalfxhalfx?_trksid=p2047675.l2559,100% Positive feedback,Blue,adidas,,
"**brand new** adidas i-5923 size 5 white, blue, burgundy",,$110,0,"",xhalfxhalfx,https://www.ebay.com/usr/xhalfxhalfx?_trksid=p2047675.l2559,100% Positive feedback,Red,adidas,,
**confirmed order** nike social status dunk mid strawberry milk size 10.5,,$249.99,7,Authenticity Guarantee,nights7,https://www.ebay.com/usr/nights7?_trksid=p2047675.l2559,100% Positive feedback,Red,Nike,Dunk,Size 10
**new adidas originals nmd_r1 primeblue wonder white blue | size 9 | gx8375,,$129.97,0,Authenticity Guarantee,knzapparel,https://www.ebay.com/usr/knzapparel?_trksid=p2047675.l2559,99.8% Positive feedback,Blue,adidas,,Size 9
**new adidas originals nmd_r1 primeblue wonder white blue | size 9 | gx8375,,$129.97,0,Authenticity Guarantee,knzapparel,https://www.ebay.com/usr/knzapparel?_trksid=p2047675.l2559,99.8% Positive feedback,Blue,adidas,NMD,Size 9
**new men's adidas adizero boston 10 blue white running | size 10 | fz2498 nwb,,$139.97,0,Authenticity Guarantee,"","","",Blue,adidas,,Size 10
**new men's adidas adizero boston 10 blue white running | size 10 | fz2498 nwb,,$139.97,0,Authenticity Guarantee,"","","",Blue,adidas,Adizero,Size 10
**new men's adidas adizero boston 10 blue white running | size 11 | fz2498 nwb,,$279.94,0,Authenticity Guarantee,"","","",Blue,adidas,,Size 11
**new men's adidas adizero boston 10 blue white running | size 11 | fz2498 nwb,,$139.97,0,Authenticity Guarantee,"","","",Blue,adidas,Adizero,Size 11
**new men's adidas adizero boston 10 blue white running | size 12 | fz2498 nwb,,$139.97,0,Authenticity Guarantee,"","","",Blue,adidas,,Size 12
**new men's adidas adizero boston 10 blue white running | size 12 | fz2498 nwb,,$139.97,0,Authenticity Guarantee,"","","",Blue,adidas,Adizero,Size 12
**new men's adidas adizero boston white red running | size 10 | fy4079 nwb,,$129.97,0,Authenticity Guarantee,knzapparel,https://www.ebay.com/usr/knzapparel?_trksid=p2047675.l2559,99.8% Positive feedback,Red,adidas,,Size 10
