listing_name,listing_price,listing_shipping_price,listing_color,listing_brand,keyword_brand_new,keyword_in_box,keyword_authentic,keyword_rare,keyword_limEdit,keyword_deadstock,keyword_classic,keyword_retro,keyword_vintage,keyword_OG,keyword_lifestyle,keyword_casual,keyword_athletic,keyword_running,keyword_basketball,keyword_low,keyword_mid,keyword_high,keyword_shoes,keyword_sneakers
✅ adidas yeezy 700 v3 'dark glow' (gx6144),$265,$11.58,Black,adidas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
$130 adidas james harden vol 4 black eh2410 men's basketball shoes authentic,$89.99,$0,Black,adidas,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
$189.99 $150 adidas adicolor low bl1 bts black tiger studio soccer superstar 562,$49.99,$8,Black,adidas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
**rare new men's adidas nmd r1 | white pink green | size 10 | gx5372 nwb,$159.95,$0,Black,adidas,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"*new* men adidas originals 3mc core black (b22713), sz 8.0",$48,$0,Black,adidas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"*new* men adidas originals crazy 1 adv black (b37562), sz 8.0 - 10.5",$85,$0,Black,adidas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"*new* men adidas originals seeley black (ee6136), sz 10.0 / 11.0",$69,$0,Black,adidas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"*new* men adidas originals tubular instinct boost black (by3611), sz 8.0 / 8.5",$125,$0,Black,adidas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*new* men adidas originals tubular radial cny black sneakers ba7780 us size 8,$90,$15,Black,adidas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"*new* men adidas running x9000l4 core black (fw4910), sz 8.5 - 12.0",$95,$0,Black,adidas,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"*new* men adidas speed trainer 2 slt black (b54347), sz 8.0 -12.0",$59,$0,Black,adidas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"*new* men adidas ultraboost x parley (cg3673), sz 5.0 - 8.5, 100% authentic",$105,$0,Black,adidas,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"*new* mens adidas originals nmd_xr1 pk black (s77195), sz 8.0",$130,$0,Black,adidas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"*new* mens adidas originals sobakov black (bd7549), sz 7.5 / 8.0",$72,$0,Black,adidas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"*new* mens adidas skateboarding adi-ease black (bb8503), sz 7.0 - 12.0",$64,$0,Black,adidas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"*new* mens adidas ultraboost 4.0 dna running black/gold (fu7437), sz 8.0 - 10.0",$160,$0,Black,adidas,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"*new* mens adidas ultraboost chinese new year (f35231), sz 7.5 / 8.5",$115,$0,Black,adidas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*new*adidas superstar- white w/ black stripes sz 8,$65,$8.49,Black,adidas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[b79758] mens adidas originals nmd_r1 running sneaker - black carbon white,$109.99,$0,Black,adidas,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
[bb6166] mens adidas ultraboost ultra boost 4.0 running sneaker black white,$149.99,$0,Black,adidas,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
[bc0651] mens adidas five ten 5.10 freerider contact,$112.99,$0,Black,adidas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[bc0718] mens adidas five ten 5.10 impact pro,$119.99,$0,Black,adidas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[by1910] mens adidas originals nmd_xr1 - black grey white glitch camo oreo,$129.99,$0,Black,adidas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[cm7593] mens adidas terrex tracerocker gtx,$79.99,$0,Black,adidas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[ee9573] mens adidas predator 20.3 in,$69.99,$0,Black,adidas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
