listing_name,listing_price,listing_shipping_price,listing_color,listing_brand,keyword_brand_new,keyword_in_box,keyword_authentic,keyword_rare,keyword_limEdit,keyword_deadstock,keyword_classic,keyword_retro,keyword_vintage,keyword_OG,keyword_lifestyle,keyword_casual,keyword_athletic,keyword_running,keyword_basketball,keyword_low,keyword_mid,keyword_high,keyword_shoes,keyword_sneakers
**ships now** new ds nike jordan 1 mid banned bred size 11 black red 554724-074,$199.99,$10,Black,Air Jordan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
*new ds* nike air jordan 1 retro high '85 og varsity red bq4422-600 sz: 8 - 9,$530,$0,Black,Air Jordan,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
*new* ds nike air jordan 1 high retro og pollen us 11 555088-701 black yellow,$215,$13.55,Black,Air Jordan,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
*new* men's air jordan 1 mid | black chile red white | size 13 | 554724 075 nwb,$159.95,$0,Black,Air Jordan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
???� nike air jordan retro 1 mid gym red black ps size 2 640734-122 brand new!,$105,$5,Black,Air Jordan,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
???� size 12 - air jordan 1 centre court black white dj2756 001 new,$120,$9.3,Black,Air Jordan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
�??�?? air jordan 1 high retro 'black/metallic gold' - size 9 - ????????,$200,$0,Black,Air Jordan,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
???? nike air jordan 1 mid chile red black white grey retro 554724-075 men size 13,$175,$10.15,Black,Air Jordan,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
???�???�new size 9 nike air jordan 1 mid td football cleats black white ar5604-001,$135,$0,Black,Air Jordan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
�??�??air jordan 1 retro high white black volt gold gs (ready to ship)???�???�???�,$170,$0,Black,Air Jordan,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
???�free shipping+ship same day???� air jordan 1 retro high og electro orange 6y,$175,$0,Black,Air Jordan,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
???�free shipping+ship same day???� air jordan 1 retro high og electro orangesize9,$220,$0,Black,Air Jordan,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
???�new nike air jordan 1 mid shadow red 554724-096 black grey white 11 12???�,$215,$27.95,Black,Air Jordan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
???�nike air jordan 1 mid men's size 13 shoes tropical twist black 554724-132,$129.99,$9.8,Black,Air Jordan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
???�nike air jordan 1 retro high og electro orange men's size 9 555088-180 new!,$209,$12.7,Black,Air Jordan,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
???�nike air jordan 20 xx retro flyknit rag & bone melo bq3271-001 size 10,$200,$9.3,Black,Air Jordan,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
�??nike air jordan 1 low retro blue black white dh0206-400 size 13 new�??,$179,$0,Black,Air Jordan,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
