listing_name,listing_price,listing_shipping_price,listing_color,listing_brand,keyword_brand_new,keyword_in_box,keyword_authentic,keyword_rare,keyword_limEdit,keyword_deadstock,keyword_classic,keyword_retro,keyword_vintage,keyword_OG,keyword_lifestyle,keyword_casual,keyword_athletic,keyword_running,keyword_basketball,keyword_low,keyword_mid,keyword_high,keyword_shoes,keyword_sneakers
✅ adidas yeezy 700 v3 'dark glow' (gx6144),265.00,11.58,Black,adidas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
✅ new balance 550 white grey size 10 10 bb550pb1 ✅,178.88,0.00,White,New Balance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
✅ nike dunk low social status free lunch strawberry milk size 3y (ps) dm3349-600,159.99,8.80,Red,Nike,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
✅ nike dunk mid social status free lunch size 11 strawberry milk dj1173-600,240.00,0.00,Red,Nike,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
$130 adidas james harden vol 4 black eh2410 men's basketball shoes authentic,89.99,0.00,Black,adidas,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
$130 adidas james harden vol 4 grey eh2412 men's basketball shoes authentic,89.99,0.00,White,adidas,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
$130 adidas james harden vol 4 scarlet eh2409 men's basketball shoes authentic,89.99,0.00,White,adidas,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
$180 nib men women nike air max 720 running training shoes black red gold gym tr,100.78,0.00,Red,Nike,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
$180 nike air zoom bb nxt red usa basketball shoes sz 9-13 ck5707-600 olympic,100.00,0.00,Red,Nike,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
$189.99 $150 adidas adicolor low bl1 bts black tiger studio soccer superstar 562,49.99,8.00,Black,adidas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
$325 stella mccartney for adidas stan smith low top sneakers white choose size,249.99,0.00,White,adidas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
(2017) air jordan 12 retro bordeaux - size 10 **new**,350.00,9.99,Red,Air Jordan,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
(2020) nike air jordan 1 mid banned size 11. 554724-074,209.00,0.00,Red,Nike,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
(deadstock with tags) size 8 - new balance 550 x aime leon dore evergreen,350.00,9.30,White,New Balance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(ef9819) adidas pro model 2g - scarlet red *new*,50.00,0.00,Red,adidas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(eh3371) men's adidas edge gameday shoes - red *new* men's 13,36.00,8.25,Red,adidas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
(fx7882) men's adidas top ten low rb shoes - red *new*,68.00,0.00,Red,adidas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
(fy0384) adidas ultraboost 21 running shoes - blue *new*,135.00,0.00,Blue,adidas,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
