listing_name,listing_price,listing_shipping_price,listing_color,listing_brand,keyword_brand_new,keyword_in_box,keyword_authentic,keyword_rare,keyword_limEdit,keyword_deadstock,keyword_classic,keyword_retro,keyword_vintage,keyword_OG,keyword_lifestyle,keyword_casual,keyword_athletic,keyword_running,keyword_basketball,keyword_low,keyword_mid,keyword_high,keyword_shoes,keyword_sneakers
*dead stock* new balance 997h black/grey size 10,$135,$15.3,Black,New Balance,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[ml1980nw] new balance 1980 mens running sneakers zante black/white,$69.99,$0,Black,New Balance,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
[ml999af] new balance 999 mens running sneakers black/red,$69.99,$0,Black,New Balance,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
[vans x house of terror] it era shoes sneakers (vn0a4u39zpm),$90,$0,Black,New Balance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
12 4e xw new balance shoes 510 black low top mt510cb3 running cushioned mesh,$69.99,$0,Black,New Balance,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
2015 new balance men's crt300 leather crt300lb black/white,$49.99,$0,Black,New Balance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016 men's new balance 860 v6 run disney mickey mouse size 8 2e wide shoes,$179,$0,Black,New Balance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
aape by a bathing ape bape new balance 703 black us 10,$515,$0,Black,New Balance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aape by a bathing ape bape new balance 703 black us 11,$515,$0,Black,New Balance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
air balance men's black sneakers size 7 nib must see,$19.99,$10.15,Black,New Balance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
aries x new balance 327 men's 11 invincible black leather shoes (ms327air),$219.99,$0,Black,New Balance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
authentic new balance 992 black white grey size 11,$165,$24.35,Black,New Balance,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
authentic new balance sport kit mrl247kb black gray blue running shoes men size,$49.94,$10.83,Black,New Balance,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"balance men's fresh foam roav v1 sneaker, black/team teal size 9 (mroavcb)",$59.99,$9.6,Black,New Balance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bb550le1 new balance 550 white green black new and in hand,$150,$8.8,Black,New Balance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blue and black new balance turfs size 9,$40,$15.95,Black,New Balance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
