listing_name,listing_price,listing_shipping_price,listing_color,listing_brand,keyword_brand_new,keyword_in_box,keyword_authentic,keyword_rare,keyword_limEdit,keyword_deadstock,keyword_classic,keyword_retro,keyword_vintage,keyword_OG,keyword_lifestyle,keyword_casual,keyword_athletic,keyword_running,keyword_basketball,keyword_low,keyword_mid,keyword_high,keyword_shoes,keyword_sneakers
*dead stock* size: us13m/14w nike air force 1 ‘07 lv8 peace & unity dm9051-001,$150,$0,Black,Nike,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*new ds* nike air jordan 1 retro high '85 og varsity red bq4422-600 sz: 8 - 9,$530,$0,Black,Nike,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
[nike] air force 1 low experimental 'halloween' - size 13 *in hand*🎃,$189.99,$8.99,Black,Nike,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
[nike] challenger og shoes sneakers - light bone/black/white(cw7645-003) size 9,$100,$8.8,Black,Nike,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
【new in box】nike air max 2021 black iron grey da1925-001 mens,$139.99,$0,Black,Nike,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
【new in box】nike romaleos 4 training weightlifting mens cd3463-101 white black,$184.99,$0,Black,Nike,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011 nike air jordan 3 iii retro bhm black gold size 11. 455657-001 1 2,$380,$0,Black,Nike,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2017 nike air jordan 1 mid black white basketball shoes 554724-034 size 9 ds,$399,$12,Black,Nike,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
2020 air jordan 1 mid se turf orange dd6834-802 mens and gs sizes 7y- 10,$120,$0,Black,Nike,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2020 nike air jordan 1 retro high og satin black gym red sz 11 ( 555088-060 ),$249.99,$0,Black,Nike,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
2020 nike air jordan 1 retro high og sz10 black metallic gold 555088-032,$220,$9.3,Black,Nike,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
2020 nike air jordan 5 retro top 3 cz1786-001 men size 11 black/fire red-grape,$270,$15,Black,Nike,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
adidas unisex nmd_r1 primeknit gz0066 core black/red/blue sz 5-12 new authentic,$122.7,$0,Black,Nike,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
air force 1 experimental black size 11 brand new with original box,$185,$21.95,Black,Nike,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
air jordan 1 high flyease gs size 6y / womens size 8 smoke grey red ct4897-041,$179.98,$0,Black,Nike,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
air jordan 1 high flyease mens sz 12 / wmns size 14 smoke grey red ct4897-041,$259.98,$0,Black,Nike,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
air jordan 1 mid 'black gym red' men's size 10 basketball white 554724-122,$199.99,$0,Black,Nike,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
air jordan 1 mid gs pastel volt green glow black size 4y (554725-175) nike,$124.99,$9.99,Black,Nike,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
air jordan 1 mid se court purple suede 852542 105 white purple black new rare,$148.77,$0,Black,Nike,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
air jordan 1 mid se heat reactive black/white size 12,$175,$10.85,Black,Nike,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
air jordan 1 mid se satin electro orange black white mens size 9 dm3531-800,$120.99,$11.35,Black,Nike,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
air jordan 1 pollen retro high og yellow black white 555088-701,$207,$0,Black,Nike,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
air jordan 1 pollen retro high og yellow black white 555088-701 size 10,$208,$13.55,Black,Nike,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
air jordan 1 retro high black metallic gold 575441-032 gs 4y in hand free ship,$185,$0,Black,Nike,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"air jordan 1 retro high og royal toe sneakers - us 8, black/white-game...",$300,$0,Black,Nike,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1
air jordan 1 retro high white black volt gold size 4y gs 575441-118,$188.99,$0,Black,Nike,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
air jordan 12 utility retro black dc1062-006,$221,$0,Black,Nike,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
air jordan 3 retro “pine green” ct8532-030 size 10 ds ✅confirmed preorder✅,$245,$0,Black,Nike,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
air jordan 3 retro pine green ct8532-030 - size 12 - confirmed order,$279,$9.3,Black,Nike,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
air max 90 essential black red - men shoes 537384 066 10 us new,$165,$9.99,Black,Nike,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
authentic nike air force 1 '07 lv8 black wolf grey white cd0886 001 men size,$149.94,$9,Black,Nike,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
authentic nike air max ltd 3 black white cool grey bv1171 001 gym shoes men size,$174.9,$9,Black,Nike,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
authentic nike elite shinsen 801780-010,$79.99,$0,Black,Nike,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
authentic nike free tr v8 tb / men's / gym red/black/white / nib reg $100,$59.75,$0,Black,Nike,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
black/platinum men’s nike roshe one size 12,$85,$14.99,Black,Nike,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brand new mens nike air force 1 '07 lv8 4 ck4363 001 black-obsidan mist shoes,$149.99,$9.99,Black,Nike,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
brand new mens nike air force 1 '07 lv8 ww ck6924 001 black/crimson tnt shoes,$159.99,$9.99,Black,Nike,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
brand new men's nike air max 200 white/black sneakers size 11 very nice!!!,$120,$0,Black,Nike,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
brand new mens nike air max 90 leather 302519 001 shoes,$149.99,$9.99,Black,Nike,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
brand new mens nike hyperflight max 599451 001 black/blue hero shoes,$159.99,$9.99,Black,Nike,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
brand new nike air jordan xi 11 72-10 retro men's size 10,$399.99,$0,Black,Nike,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
brand new nike air max plus bred black red cu4864-001 men’s size 9,$154.99,$9.3,Black,Nike,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brand new nike air vapormax plus 'triple black' 924453-004 mens size 6/7w,$258.88,$0,Black,Nike,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brand new nike d/ms/x waffle *black white* (cq0205-001) size 10,$74.99,$10,Black,Nike,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brand new nike id nike by you air force 1 low triple black size 12 ct7875-994,$100,$11,Black,Nike,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
brand new nike mayfly woven men's athletic fashion sneakers [833132 302],$69.99,$0,Black,Nike,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
brand new nike roshe run triple black running sneaker 511881-026 [size 7],$79.99,$0,Black,Nike,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
d54 men's nike air zoom grade black/black-white 10,$89.99,$7.95,Black,Nike,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
deadstock nike jordan 1 high retro black metallic gold 2020 size 10 aj,$225,$20.75,Black,Nike,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
ds 2008 nike air stab premium runnin n gunnin infrared/black 332229-601 sz 11,$325,$17.95,Black,Nike,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ds nib nike air force 1 low insideout 312486-002 2006 black red men's 9,$250,$0,Black,Nike,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ds nike 2012 flyknit trainer+ black 8 vintage,$399.99,$29,Black,Nike,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
fragment x nike dunk high beijing size 5,$185,$15,Black,Nike,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
free rn running shoes - mens - university red/total crimson/white/black,$99.99,$5,Black,Nike,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
jordan 1 high zoom air cmft black monarch size 11 ds brand new jordan 1 nike,$199.97,$0,Black,Nike,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
jordan 1 low reverse bred gs 553560-606 grade school black red,$100,$0,Black,Nike,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
jordan 1 low se asw carbon fiber (gs) size 6y - 7y dd2191-001,$105,$9.3,Black,Nike,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
jordan 1 mid size 11 mens university gold white black yellow nike 554724 170,$199.99,$0,Black,Nike,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
jordan 1 mid white black royal size 9 brand new ds ship next day! 554724-140,$155,$0,Black,Nike,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
jordan 5 retro fire red silver tongue (2020) size u.s. men’s 9,$225,$9.8,Black,Nike,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
