listing_name,listing_url,listing_price,listing_shipping_price,listing_authenticity,listing_Seller,listing_Seller_rating,listing_color,listing_brand,listing_size,,mid,new,running,shoes,,,,retro,mens
(in-hand) nike air jordan 1 mid se denim - dm4352-600 - size 11 - ds - nib,https://www.ebay.com/itm/324795465346?hash=item4b9f517e82:g:UlMAAOSwhb1hR06T,189.99,0.00,Authenticity Guarantee,longislandsoles,100.00%,Red,Air Jordan,11,,low,deadstock,lifestyle,sneakers,,,,classic,men's
(in-hand) nike air jordan 1 mid se denim - dm4352-600 - size 12 - ds - nib,https://www.ebay.com/itm/324795465935?hash=item4b9f5180cf:g:pHYAAOSwFfRhR07I,189.99,0.00,Authenticity Guarantee,longislandsoles,100.00%,White,Air Jordan,12,,high,brand new,,,,,,og,
***new men's adidas adizero boston 10 blue white running | size 10 | fz2498,https://www.ebay.com/itm/284473115478?hash=item423beb4356:g:CZ8AAOSwH4lhR9vR,139.97,0.00,Authenticity Guarantee,knzapparel,99.80%,Blue,adidas,10,,,in box,,,,,,,
**confirmed order** nike social status dunk mid strawberry milk size 10,https://www.ebay.com/itm/313713861548?hash=item490acda3ac:g:d0EAAOSwH1BhaxT0,249.99,7.00,Authenticity Guarantee,nights7,100.00%,Red,Nike,10,,,limited,,,,,,,
**new adidas originals nmd_r1 primeblue wonder white blue | size 9 | gx8375,https://www.ebay.com/itm/284494642241?hash=item423d33bc41:g:e18AAOSw49NhbkJL,129.97,0.00,Authenticity Guarantee,knzapparel,99.80%,Blue,adidas,9,,,rare,,,,,,,
**new men's adidas adizero boston white red running | size 10 | fy4079 nwb,https://www.ebay.com/itm/284501972038?hash=item423da39446:g:nswAAOSwHetg~MnM,129.97,0.00,Authenticity Guarantee,knzapparel,99.80%,Red,adidas,10,,,,,,,,,,
*dead stock* new balance 997h black/grey size 10,https://www.ebay.com/itm/224123972890?hash=item342ed46d1a:g:LiYAAOSwVV1fPVvY,135.00,15.30,Authenticity Guarantee,88vintage,100.00%,Black,New Balance,10,,,,,,,,,,
*dead stock* new balance 997lbl - blue/yellow - size 7 made in usa (limited edt),https://www.ebay.com/itm/164009467139?hash=item262fb9dd03:g:9p8AAOSwVqpfMIz4,150.00,16.50,Authenticity Guarantee,88vintage,100.00%,Blue,New Balance,7,,,,,,,,,,
*new in box* stray rats new balance 574 red size 12,https://www.ebay.com/itm/373702366508?hash=item570265952c:g:M~wAAOSw329hLBMZ,110.00,0.00,Authenticity Guarantee,high5sportscards,100.00%,Red,New Balance,12,,,,,,,,,,
*new* new balance 999 lifestyle edition (burgundy/navy) size 9 - made in usa,https://www.ebay.com/itm/163999973114?hash=item262f28fefa:g:b9gAAOSwk1VfMI3O,150.00,15.30,Authenticity Guarantee,88vintage,100.00%,Red,New Balance,9,,,,,,,,,,
