listing_name,listing_url,listing_price,listing_shipping_price,listing_authenticity,listing_Seller,listing_Seller_url,listing_Seller_rating,listing_brand,listing_color,listing_model,listing_size
✅ adidas yeezy 700 v3 'dark glow' (gx6144),https://www.ebay.com/p/6048645589?iid=115005903330,265,11.58,Authenticity Guarantee,,,,adidas,Black,Yeezy,
✅ new balance 550 white grey size 10 10 bb550pb1 ✅,https://www.ebay.com/p/6045642261?iid=203608453026&var=504020624358,178.88,0,,,,,New_Balance,White,500,10
$130 adidas james harden vol 4 black eh2410 men's basketball shoes authentic,https://www.ebay.com/p/14039794070?iid=373387397463&var=642407346033,89.99,0,,,,,adidas,Black,Harden,
$130 adidas james harden vol 4 grey eh2412 men's basketball shoes authentic,https://www.ebay.com/p/12039782436?iid=373387501678&var=642407443256,89.99,0,,,,,adidas,White,Harden,
$130 adidas james harden vol 4 scarlet eh2409 men's basketball shoes authentic,https://www.ebay.com/p/16039791377?iid=373387498041&var=642407437418,89.99,0,,,,,adidas,White,Harden,
$189.99 $150 adidas adicolor low bl1 bts black tiger studio soccer superstar 562,https://www.ebay.com/itm/301967128610?hash=item464ea4b822:g:EqkAAOSw-95bbNEs&var=600766110665,49.99,8,,kobe2k4,https://www.ebay.com/usr/kobe2k4?_trksid=p2047675.l2559,99% Positive feedback,adidas,Black,Superstar,
$325 stella mccartney for adidas stan smith low top sneakers white choose size,https://www.ebay.com/itm/264801615312?var=564625967689&hash=item3da767fdd0:g:f-kAAOSw2TFfFLBP,249.99,0,Authenticity Guarantee,bunny_inc,https://www.ebay.com/usr/bunny_inc?_trksid=p2047675.l2559,100% Positive feedback,adidas,White,Stan Smith,
(2017) air jordan 12 retro bordeaux - size 10.5 **new**,https://www.ebay.com/p/2310850077?iid=353737759717,350,9.99,Authenticity Guarantee,,,,Air_Jordan,Red,,10
(deadstock with tags) size 8 - new balance 550 x aime leon dore evergreen,https://www.ebay.com/p/8045636223?iid=165113579731,350,9.3,Authenticity Guarantee,,,,New_Balance,White,500,8
(ef9819) adidas pro model 2g - scarlet red *new*,https://www.ebay.com/p/6039810357?iid=254957256093&var=554845053429,50,0,,,,,adidas,Red,,
(eh3371) men's adidas edge gameday shoes - red *new* men's 13,https://www.ebay.com/p/6045989781?iid=184877362147,36,8.25,,,,,adidas,Red,,
(fx7882) men's adidas top ten low rb shoes - red *new*,https://www.ebay.com/p/9047364872?iid=254956291406&var=554930705182,68,0,,,,,adidas,Red,,
(fy0384) adidas ultraboost 21 running shoes - blue *new*,https://www.ebay.com/p/4047179276?iid=265137482613&var=565035484012,135,0,Authenticity Guarantee,,,,adidas,Blue,Ultra Boost,
(in-hand) nike air jordan 1 mid se denim - dm4352-600 - size 11 - ds - nib,https://www.ebay.com/itm/324795465346?hash=item4b9f517e82:g:UlMAAOSwhb1hR06T,189.99,0,Authenticity Guarantee,longislandsoles,https://www.ebay.com/usr/longislandsoles?_trksid=p2047675.l2559,100% Positive feedback,Air_Jordan,Red,,11
(in-hand) nike air jordan 1 mid se denim - dm4352-600 - size 12 - ds - nib,https://www.ebay.com/itm/324795465935?hash=item4b9f5180cf:g:pHYAAOSwFfRhR07I,189.99,0,Authenticity Guarantee,longislandsoles,https://www.ebay.com/usr/longislandsoles?_trksid=p2047675.l2559,100% Positive feedback,Air_Jordan,White,,12
(new men's 10) nike air jordan retro 1 td mid black football cleats (ar5604-100),https://www.ebay.com/itm/194124003325?epid=2310847929&_trkparms=ispr%3D1&hash=item2d32b137fd:g:kXgAAOSwVgxgnJmV&amdata=enc%3AAQAGAAACkPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsSMJP5lymjvym%252B0KHUMc1dIVUPpYOyiCgb0hAWwHd4DV862To8lgtQDdf%252By%252BQvRBw1iCQV0TpfLPmAw%252FtfO2Hrd1d8BPXo750KFLECwZKHhKFtJZUz3j1J58cY9k0XABo7kr%252BgZec1d%252Br4nGNpInvSQnaYBw4v1li7D7YV8BhqDLWxU0GBdW3ibwYkmw0UjbCZRT%252B4ts7pt2o1YlaVLm5dBCZ3RDvnta8I1WDqrr14n7Dk%252B9YITrOdoon95nwDtr8IdoHxt42yaad6aMaSpjruQVwesp4EEAMPp5PAK%252BCf5NfQRZtm3ChiOuZ83u3bKSFw6j%252BVXRpsrDx0ix2clZLCgjsYiIljXFToB%252BhBsSoA0eZ3Gt2BhfQloCdTAuVZnoXJAQW%252B76FLRuWT7Dv2LOWfAbz3YYV%252F08pCHbQWjomMxtej7pqNsUZPqD4qbRCbC7hkJre5HFwPVxdRhgUSczpeFb%252Fyd2fz4FBCktCpA4B0D8gkfFTL6qyvDrE%252BkilwTp9oe5ixgF2YORQXtRcMX4ma6meB9g1KGYIkT2goADy%252FbNydrYhgz72tcEPTVZ7DPfaxp3%252Fu5E9CvoGGYELLSmIF%252Bluc%252BRQoKhaT7ZKcUPzrfqRErTs2FJs8KBdy5ypAobySAg6sl2bFLXLZBE50utEBzyiB0N91tiit53ApcoM4dZAMmZJ56OeBr1SMLtlAGeTAxvaf%252FopiGxSY4HvRKNtWKFoG%252FLzW1nADeaKvx3w5Cf9LEOrTJqKnkAu2J9%252BXHEsFeamVmRok5b2vPSNWMqe%252F0ZNL31yDryRunBCv6inTKLry4r0tfGEZLfovcTp3%252FdZg%7Campid%3APL_CLK%7Cclp%3A2499334,149.97,0,,agileastonish,https://www.ebay.com/usr/agileastonish?_trksid=p2047675.l2559,100% Positive feedback,Air_Jordan,White,,
(new men's 10.5) nike air jordan 1 td mid black football cleat (ar5604-100),https://www.ebay.com/p/22039803270?iid=294285090638,134.99,0,,,,,Air_Jordan,White,,
(new men's) nike air jordan 1 low shadow grey gray white shoes (553558-040),https://www.ebay.com/p/18048578874?iid=194284685243&var=494401330374,175,0,Authenticity Guarantee,,,,Air_Jordan,White,,
(new) adidas basketball shoe: d.o.n. issue 2 / size 11 / fu7384 / white / black,https://www.ebay.com/p/16045623917?iid=124946601787,109.99,0,Authenticity Guarantee,,,,adidas,White,,11
(new) adidas basketball shoe: d.o.n. issue 2 / size 12 / fu7384 / white / black,https://www.ebay.com/itm/124946587661?hash=item1d1765a00d:g:lWYAAOSwj-dhY7~g,109.99,0,Authenticity Guarantee,thesupershopspot,https://www.ebay.com/usr/thesupershopspot?_trksid=p2047675.l2559,100% Positive feedback,adidas,White,,12
(new) new balance mens 410 trail running course shoes blue size 12 d with box,https://www.ebay.com/itm/115057806072?hash=item1ac9facaf8:g:sKMAAOSwTXBhcfTp,50,13.55,,kmuch220,,,New_Balance,Blue,400,12
* adidas predator mutator 20.1 fg soccer cleat blue /red mens size 11 eg1600 nib,https://www.ebay.com/p/28039798552?iid=224568937798&rt=nc,117.46,18.21,,,,,adidas,Red,,11
***new men's adidas adizero boston 10 blue white running | size 10 | fz2498,https://www.ebay.com/itm/284473115478?hash=item423beb4356:g:CZ8AAOSwH4lhR9vR,139.97,0,Authenticity Guarantee,knzapparel,https://www.ebay.com/usr/knzapparel?_trksid=p2047675.l2559,99.8% Positive feedback,adidas,Blue,Adizero,10
"**brand new** adidas i-5923 size 5 white, blue, burgundy",https://www.ebay.com/itm/293969964740?hash=item4471f9aec4:g:5QgAAOSwWYtgDHjr,55,0,,xhalfxhalfx,https://www.ebay.com/usr/xhalfxhalfx?_trksid=p2047675.l2559,100% Positive feedback,adidas,Red,,
**brand new** nike air jordan 13 retro red flint (2021) size us9 (dj5982 600),https://www.ebay.com/p/14044904209?iid=124949700486&rt=nc,206.41,24.28,,,,,Air_Jordan,Red,,
